TimeStamp,CarHumidity,CarTemperature,OutsideHumidity,OutsideTemperature
2021-06-27 20:06:30,12.8,130.28,27.7,103.82
2021-06-27 20:08:00,13.1,130.64,28.7,103.82
2021-06-27 20:12:30,13.7,129.56,26.5,104.0
2021-06-27 20:13:00,24.8,104.18,26.2,104.18
2021-06-27 20:13:30,24.7,103.82,27.3,104.18
2021-06-27 20:14:00,25.9,102.56,,
2021-06-27 20:14:30,26.2,101.66,,
2021-06-27 20:15:00,26.6,100.94,,
2021-06-27 20:15:30,,100.04,26.1,104.9
2021-06-27 20:16:30,27.5,99.5,26.3,
2021-06-27 20:25:00,28.9,98.6,25.6,105.8
2021-06-27 20:25:30,26.3,104.54,,
2021-06-27 20:26:00,25.2,106.16,,
2021-06-27 20:26:30,24.1,107.78,25.8,105.98
2021-06-27 20:27:00,22.4,109.04,25.7,105.98
2021-06-27 20:27:30,21.9,110.3,26.8,105.98
2021-06-27 20:28:00,21.4,111.38,27.9,105.8
2021-06-27 20:29:00,20.5,112.46,26.9,
2021-06-27 20:29:30,20.0,113.36,,105.44
2021-06-27 20:30:00,19.6,114.44,,
2021-06-27 20:30:30,19.4,115.34,,
2021-06-27 20:31:00,18.7,116.06,,
2021-06-27 20:31:30,18.6,116.96,,
2021-06-27 20:32:00,18.3,117.68,27.7,105.98
2021-06-27 20:32:30,18.3,118.4,27.3,105.8
2021-06-27 20:33:00,17.2,119.12,25.9,105.62
2021-06-27 20:33:30,16.6,119.48,24.3,105.26
2021-06-27 20:34:00,16.3,119.84,24.3,105.44
2021-06-27 20:34:30,16.3,120.38,24.4,105.8
2021-06-27 20:35:00,16.1,121.1,24.8,105.8
2021-06-27 20:35:30,16.0,121.28,25.3,105.98
2021-06-27 20:36:30,15.5,121.82,,106.16
2021-06-27 20:37:00,15.9,122.36,25.1,106.16
2021-06-27 20:37:30,15.7,122.72,,
2021-06-27 20:38:00,15.5,122.9,25.3,106.34
2021-06-27 20:41:30,15.2,123.26,24.1,106.16
2021-06-27 20:42:00,14.8,124.88,,
2021-06-27 20:44:00,14.6,125.24,25.8,106.16
2021-06-27 20:45:00,14.7,125.6,27.2,106.7
2021-06-27 20:45:30,14.6,125.96,,
2021-06-27 20:46:00,14.4,126.14,24.3,107.06
2021-06-27 20:46:30,14.2,126.5,25.0,107.42
2021-06-27 20:47:00,14.1,126.86,24.9,107.6
2021-06-27 20:47:30,14.1,126.68,,
2021-06-27 20:48:00,14.3,127.04,25.7,107.6
2021-06-27 20:48:30,14.1,127.22,26.3,107.96
2021-06-27 20:49:00,14.3,127.58,24.5,
2021-06-27 20:49:30,14.2,127.58,,107.96
2021-06-27 20:50:00,13.7,127.76,22.7,107.78
2021-06-27 20:50:30,13.5,128.12,21.8,107.42
2021-06-27 20:51:00,13.6,128.3,22.8,107.6
2021-06-27 20:51:30,13.4,128.3,23.8,107.78
2021-06-27 20:54:00,13.2,129.02,22.8,107.96
2021-06-27 20:54:30,13.2,129.2,23.3,
2021-06-27 20:55:00,13.1,129.2,,108.14
2021-06-27 21:05:30,,128.66,23.8,107.96
2021-06-27 21:06:30,12.6,130.1,,
2021-06-27 21:10:00,12.7,130.46,21.9,108.32
2021-06-27 21:10:30,12.9,131.54,23.2,108.5
2021-06-27 21:13:00,12.8,131.9,21.0,109.58
2021-06-27 21:14:00,12.2,132.08,22.0,109.76
2021-06-27 21:14:30,12.2,132.62,22.2,
2021-06-27 21:14:30,12.2,132.98,22.2,
2021-06-27 21:15:00,,133.16,,109.94
2021-06-27 21:16:00,12.2,133.34,21.3,110.12
2021-06-27 21:16:30,12.2,133.34,20.4,110.12
2021-06-27 21:17:00,12.1,133.7,22.1,110.3
2021-06-27 21:17:30,11.9,133.7,21.7,110.3
2021-06-27 21:18:00,11.7,133.88,22.6,110.48
2021-06-27 21:18:30,11.8,134.24,21.6,110.48
2021-06-27 21:19:00,11.3,133.52,,
2021-06-27 21:19:30,11.6,133.7,20.5,
2021-06-27 21:20:00,11.9,133.7,,109.76
2021-06-27 21:20:30,11.8,133.88,21.0,109.22
2021-06-27 21:21:00,11.9,133.88,21.5,108.86
2021-06-27 21:21:30,11.9,134.06,22.3,108.5
2021-06-27 21:22:00,11.9,134.06,23.3,108.5
2021-06-27 21:23:00,11.6,134.24,,
2021-06-27 21:23:30,11.6,134.24,,
2021-06-27 21:24:00,11.3,133.88,21.3,108.68
2021-06-27 21:24:30,11.5,133.88,21.4,108.68
2021-06-27 21:25:00,11.6,133.52,21.1,109.04
2021-06-27 21:25:30,11.6,133.52,22.0,109.22
2021-06-27 21:26:00,11.6,133.52,24.1,109.4
2021-06-27 21:26:30,11.6,133.52,,
2021-06-27 21:27:00,11.3,133.88,,
2021-06-27 21:27:30,11.5,133.88,22.6,109.58
2021-06-27 21:28:00,11.3,133.88,21.7,109.58
2021-06-27 21:28:30,11.5,134.06,22.7,109.58
2021-06-27 21:29:00,11.2,134.06,23.0,109.76
2021-06-27 21:29:30,11.2,134.06,22.5,110.12
2021-06-27 21:30:30,11.0,134.06,20.0,109.76
2021-06-27 21:31:00,11.1,133.88,,
2021-06-27 21:31:30,11.3,133.88,,
2021-06-27 21:32:00,11.3,133.88,,
2021-06-27 21:32:30,11.2,133.7,21.4,109.94
2021-06-27 21:33:00,11.3,133.88,20.8,109.94
2021-06-27 21:33:30,11.3,133.88,22.9,110.3
2021-06-27 21:34:00,11.3,134.42,,
2021-06-27 21:34:30,11.3,134.42,23.9,110.3
2021-06-27 21:35:00,11.3,134.42,23.2,110.48
2021-06-27 21:35:30,11.8,134.96,,
2021-06-27 21:36:00,11.4,134.78,20.0,109.94
2021-06-27 21:36:30,11.4,134.96,21.6,110.12
2021-06-27 21:37:00,11.3,134.96,21.0,110.3
2021-06-27 21:38:00,11.4,134.96,21.1,110.66
2021-06-27 21:38:30,11.6,135.14,20.5,110.48
2021-06-27 21:39:00,11.5,135.68,,
2021-06-27 21:39:30,11.2,135.86,21.3,110.48
2021-06-27 21:40:00,11.0,135.86,20.8,
2021-06-27 21:40:30,10.9,135.86,,110.48
2021-06-27 21:41:00,10.8,135.32,20.0,110.66
2021-06-27 21:41:30,10.8,135.14,20.0,110.48
2021-06-27 21:42:00,10.8,134.96,20.1,110.3
2021-06-27 21:42:30,10.8,134.78,,
2021-06-27 21:43:00,11.0,134.78,20.2,110.12
2021-06-27 21:43:30,11.0,134.78,20.2,110.12
2021-06-27 21:44:00,11.0,134.78,,
2021-06-27 21:44:30,11.3,134.96,22.4,110.48
2021-06-27 21:45:30,11.3,135.14,20.7,111.02
2021-06-27 21:46:00,11.2,135.68,20.8,111.2
2021-06-27 21:46:30,10.9,135.5,20.2,
2021-06-27 21:47:00,11.1,135.68,,111.2
2021-06-27 21:47:30,11.1,135.68,21.4,111.2
2021-06-27 21:48:00,11.1,135.68,,
2021-06-27 21:48:30,10.9,136.04,20.9,111.56
2021-06-27 21:49:00,10.8,136.58,19.4,111.56
2021-06-27 21:49:30,10.6,136.4,18.9,111.2
2021-06-27 21:50:00,10.8,136.4,,
2021-06-27 21:50:30,10.7,136.76,18.7,110.66
2021-06-27 21:51:00,10.9,136.94,19.4,110.84
2021-06-27 21:51:30,10.7,136.94,20.7,111.2
2021-06-27 21:52:00,10.7,137.12,19.6,110.66
2021-06-27 21:52:30,,136.94,19.4,110.84
2021-06-27 21:53:30,10.7,136.94,,111.02
2021-06-27 21:54:00,11.0,137.48,,
2021-06-27 21:54:30,10.5,137.48,19.3,111.02
2021-06-27 21:55:00,10.1,137.12,18.8,111.02
2021-06-27 21:55:30,10.4,136.94,19.2,110.66
2021-06-27 21:56:00,10.6,136.94,21.2,111.2
2021-06-27 21:56:30,10.6,136.94,,
2021-06-27 21:57:00,10.7,136.94,19.9,110.84
2021-06-27 21:57:30,10.6,136.94,19.1,111.02
2021-06-27 21:58:00,10.5,137.12,20.0,111.2
2021-06-27 21:58:30,10.5,137.48,22.2,111.38
2021-06-27 21:59:00,10.6,137.66,,
2021-06-27 21:59:30,10.7,137.48,21.2,111.2
2021-06-27 22:00:00,,136.94,,
2021-06-27 22:01:00,10.6,136.94,21.2,111.2
2021-06-27 22:01:30,10.6,136.94,22.8,111.2
2021-06-27 22:02:00,10.7,137.3,21.9,111.2
2021-06-27 22:02:30,10.7,136.94,21.1,111.2
2021-06-27 22:03:00,10.8,136.94,21.7,111.2
2021-06-27 22:03:30,10.7,136.94,21.1,111.2
2021-06-27 22:04:00,10.8,137.12,21.5,111.2
2021-06-27 22:04:30,10.8,137.48,20.2,110.84
2021-06-27 22:05:00,10.6,137.3,20.2,110.84
2021-06-27 22:05:30,10.4,137.48,21.8,
2021-06-27 22:06:00,10.5,137.3,,111.2
2021-06-27 22:06:30,10.4,137.12,21.5,111.2
2021-06-27 22:07:00,10.5,136.94,20.6,110.84
2021-06-27 22:07:30,,136.4,19.9,110.66
2021-06-27 22:08:30,10.3,136.04,21.3,111.02
2021-06-27 22:09:00,10.5,136.04,20.9,111.38
2021-06-27 22:09:30,10.3,135.68,20.0,111.2
2021-06-27 22:10:00,10.6,135.5,,
2021-06-27 22:10:30,10.6,135.32,,
2021-06-27 22:11:00,10.6,135.5,,
2021-06-27 22:11:30,10.6,135.5,21.3,111.92
2021-06-27 22:12:00,10.8,135.5,,
2021-06-27 22:12:30,10.9,135.5,21.3,111.2
2021-06-27 22:13:00,10.9,135.5,,
2021-06-27 22:13:30,11.0,135.5,21.6,111.2
2021-06-27 22:14:00,11.0,135.86,,
2021-06-27 22:14:30,10.9,136.04,18.9,110.84
2021-06-27 22:15:00,10.9,136.04,20.3,110.3
2021-06-27 22:16:00,10.9,136.04,21.8,110.3
2021-06-27 22:16:30,10.9,136.04,21.8,110.3
2021-06-27 22:17:00,11.1,136.94,,
2021-06-27 22:17:30,10.9,136.94,20.3,111.02
2021-06-27 22:18:00,10.9,136.94,,
2021-06-27 22:18:30,10.8,136.94,20.2,111.38
2021-06-27 22:19:00,10.9,136.58,,
2021-06-27 22:19:30,10.7,136.94,20.3,111.92
2021-06-27 22:20:00,10.7,136.94,,
2021-06-27 22:20:30,10.7,137.66,21.1,
2021-06-27 22:21:00,10.7,137.48,,112.28
2021-06-27 22:21:30,10.6,138.02,,
2021-06-27 22:22:00,11.0,138.2,,
2021-06-27 22:22:30,10.9,138.38,20.3,112.64
2021-06-27 22:23:30,10.8,138.2,,
2021-06-27 22:24:00,10.9,138.56,20.0,112.64
2021-06-27 22:24:30,10.9,138.38,19.9,112.28
2021-06-27 22:25:00,10.5,138.92,19.1,112.1
2021-06-27 22:25:30,10.5,138.92,,
2021-06-27 22:26:00,10.5,138.92,19.4,111.74
2021-06-27 22:26:30,10.3,138.56,19.8,111.74
2021-06-27 22:27:00,10.5,138.2,21.9,111.92
2021-06-27 22:27:30,10.7,138.56,21.5,112.1
2021-06-27 22:28:00,10.8,138.92,,
2021-06-27 22:28:30,10.8,138.92,20.8,112.1
2021-06-27 22:29:00,10.8,138.92,21.7,112.28
2021-06-27 22:29:30,10.7,138.74,21.0,112.46
2021-06-27 22:30:00,10.6,138.56,20.9,112.46
2021-06-27 22:31:00,10.1,138.02,19.4,112.28
2021-06-27 22:31:30,10.1,137.66,19.2,112.46
2021-06-27 22:32:00,10.7,138.2,19.5,112.64
2021-06-27 22:32:30,10.3,138.02,19.8,112.64
2021-06-27 22:33:00,10.6,138.38,20.5,112.82
2021-06-27 22:33:30,10.7,138.2,,
2021-06-27 22:34:00,10.8,138.56,21.8,113.0
2021-06-27 22:34:30,10.7,138.92,,
2021-06-27 22:35:00,10.4,138.92,19.7,113.18
2021-06-27 22:35:30,10.5,138.56,18.9,113.0
2021-06-27 22:36:00,10.4,138.38,17.9,112.64
2021-06-27 22:36:30,10.1,138.2,18.4,112.64
2021-06-27 22:37:00,9.9,137.84,,
2021-06-27 22:37:30,10.1,137.66,,
2021-06-27 22:38:00,,137.48,19.7,113.36
2021-06-27 22:39:00,10.1,137.48,19.5,113.54
2021-06-27 22:39:30,10.1,137.84,19.3,113.54
2021-06-27 22:40:00,10.0,137.84,18.5,113.0
2021-06-27 22:40:30,9.8,137.48,18.4,
2021-06-27 22:41:00,9.9,137.3,,112.82
2021-06-27 22:41:30,10.4,136.94,20.0,113.0
2021-06-27 22:42:00,10.4,137.48,,
2021-06-27 22:42:30,10.7,137.66,,
2021-06-27 22:43:00,10.7,138.02,20.1,113.0
2021-06-27 22:43:30,11.1,138.2,19.9,112.64
2021-06-27 22:44:00,11.0,138.38,20.7,113.18
2021-06-27 22:44:30,11.1,138.38,21.8,113.36
2021-06-27 22:45:00,10.7,138.2,19.7,113.0
2021-06-27 22:46:00,10.9,138.56,21.4,113.36
2021-06-27 22:46:30,10.9,138.92,19.7,113.18
2021-06-27 22:47:00,10.6,138.92,19.4,113.0
2021-06-27 22:47:30,10.5,138.38,19.6,
2021-06-27 22:48:00,10.5,138.92,,113.18
2021-06-27 22:48:30,10.5,139.1,19.3,113.36
2021-06-27 22:49:00,10.4,139.1,,
2021-06-27 22:49:30,10.2,138.74,18.6,112.82
2021-06-27 22:50:00,10.2,138.74,,
2021-06-27 22:50:30,10.4,138.74,,
2021-06-27 22:51:00,10.4,139.1,19.2,113.54
2021-06-27 22:51:30,10.3,139.28,,
2021-06-27 22:52:00,10.4,139.64,19.8,113.9
2021-06-27 22:52:30,10.5,139.64,19.4,113.54
2021-06-27 22:53:30,10.5,139.46,20.1,113.0
2021-06-27 22:54:00,10.5,139.46,20.7,113.18
2021-06-27 22:54:30,10.3,138.92,21.7,113.36
2021-06-27 22:55:00,10.3,138.92,20.4,113.72
2021-06-27 22:55:30,10.4,138.74,,
2021-06-27 22:56:00,10.4,139.1,,
2021-06-27 22:56:30,10.3,138.92,19.3,113.9
2021-06-27 22:57:00,10.1,139.28,20.6,114.08
2021-06-27 22:57:30,10.0,139.1,18.4,114.08
2021-06-27 22:58:00,9.9,139.46,18.7,114.26
2021-06-27 22:58:30,10.0,139.46,18.9,114.26
2021-06-27 22:59:00,10.0,139.46,,
2021-06-27 22:59:30,10.0,139.46,18.8,113.9
2021-06-27 23:00:00,9.9,138.38,18.6,114.08
2021-06-27 23:00:30,,137.66,,
2021-06-27 23:01:30,10.1,137.48,,
2021-06-27 23:02:00,10.2,137.48,19.0,114.44
2021-06-27 23:02:30,10.1,137.84,,
2021-06-27 23:03:00,10.1,137.84,17.7,
2021-06-27 23:03:30,10.2,138.2,,113.9
2021-06-27 23:04:00,10.2,138.2,20.0,114.08
2021-06-27 23:04:30,10.0,138.92,19.3,113.9
2021-06-27 23:05:00,10.2,138.92,19.4,113.9
2021-06-27 23:05:30,10.2,139.1,,
2021-06-27 23:06:00,10.2,138.92,19.3,113.18
2021-06-27 23:06:30,10.1,139.1,19.8,113.0
2021-06-27 23:07:00,9.8,139.64,,
2021-06-27 23:07:30,9.8,139.1,,
2021-06-27 23:08:00,,139.28,19.2,112.46
2021-06-27 23:09:00,9.7,138.74,20.7,113.0
2021-06-27 23:09:30,10.0,138.38,20.3,113.18
2021-06-27 23:10:00,10.0,138.38,18.7,113.18
2021-06-27 23:10:30,9.7,137.48,21.1,
2021-06-27 23:11:00,10.0,138.02,,113.54
2021-06-27 23:11:30,10.4,138.2,19.5,113.72
2021-06-27 23:12:00,10.4,138.2,,
2021-06-27 23:12:30,10.3,138.38,19.0,113.18
2021-06-27 23:13:00,10.4,138.74,19.3,113.0
2021-06-27 23:13:30,10.5,138.92,19.9,113.54
2021-06-27 23:14:00,10.5,139.1,19.4,113.18
2021-06-27 23:14:30,10.4,139.28,19.8,113.36
2021-06-27 23:15:00,10.3,139.64,20.0,113.54
2021-06-27 23:15:30,10.3,139.64,19.2,113.72
2021-06-27 23:16:30,10.3,139.82,19.3,113.9
2021-06-27 23:17:00,10.5,140.0,19.1,
2021-06-27 23:17:30,10.4,140.18,,113.9
2021-06-27 23:18:00,10.3,140.18,19.0,114.08
2021-06-27 23:18:30,10.3,140.18,18.8,113.9
2021-06-27 23:19:00,10.3,140.54,,
2021-06-27 23:19:30,10.2,140.36,19.6,114.26
